id,Name (Institution or Individual),Startups,Investment Lists,LinkedIn Profile,Company (from Associated Startups),Investor Type,Startup Count,Contacts,Name (from Contacts),Notes
reczJqQlR4osRQHsT,HMG Invest,['recnS2575XJ2X5oF2'],['Bleeding Edge BIM (AEC/BIM)'],,['Caidio'],Individual,1,,,
rec0Q1dlcwsdtyyru,Stanford Angels (UK),['recr9CZAsU7xMYkmN'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['Monolith (acquired by CoreWeave in 2025)'],Angel,1,,,
rec0WS91sep8JC5iy,Zoho Corporation,['recqc0mM0ul4jyTkr'],['Bleeding Edge BIM (AEC/BIM)'],,['Voxelgrid'],Institutional Investors,1,,,
rec1CDtMJ3TXnDQkN,Humba Ventures,['recqL8SeR544BDj5H'],['Design Intelligence (CAD)'],,['Drafter'],VC Fund,1,,,
rec1YvvrOxKcVC4Ie,Silver Lake Kraftwerk,['rectuKApvYcNtWZHa'],"['Factory Futures (MES, IIOT)']",,['Carbon'],Individual,1,,,
rec1e3RMFTsauTAgl,Enzo Mattioli Ferrari,['recqf8yrsTl6r7As4'],"['Factory Futures (MES, IIOT)']",,['Viam'],Individual,1,,,
rec1ykh5aFptD5wA5,Tiger Global Management,['recqf8yrsTl6r7As4'],"['Factory Futures (MES, IIOT)']",,['Viam'],Individual,1,,,
rec2hjLU3rwDekolE,Live Oak Media Ventures,['recrjKdXNbU8jaVIl'],['Bleeding Edge BIM (AEC/BIM)'],,['Revizto'],VC Fund,1,,,
rec2wz6WRn3Fs56WG,Outsider Fund,['recpmEwNT3VnWYTnS'],['Streamlined Supply Chain (SCM)'],,['Mobius Materials'],Institutional Investors,1,,,
rec3VEoipsWXmsV1Y,SharesPro,['rectuKApvYcNtWZHa'],"['Factory Futures (MES, IIOT)']",,['Carbon'],Institutional Investors,1,,,
rec3ZEYvpzQyE8Ehy,Meta,['recs0vaG0Y7k1cndM'],['Bleeding Edge BIM (AEC/BIM)'],,['Togal AI'],Institutional Investors,1,,,
rec4I5COry2D37kay,LionsBot founders — Dylan Ng Terntzer,['recpkSzYCmSh9MkNW'],['Bleeding Edge BIM (AEC/BIM)'],,['LionsBot'],Institutional Investors,1,,,
rec4Pio0BmnWaJOMA,Eight Capital,['recpHEzTLRiIOR5r0'],['Design Intelligence (CAD)'],,['DraftAid'],Institutional Investors,1,,,
rec53NX66A6l3E2TK,Albert Wenger,['recqf8yrsTl6r7As4'],"['Factory Futures (MES, IIOT)']",,['Viam'],Individual,1,,,
rec5BU1uM0m57xqds,Join Capital,['recpaCa3QbaOvQTN2'],['Design Intelligence (CAD)'],,['Generative Vision'],Institutional Investors,1,,,
rec5JFiMxXMzdiZhs,EDBI (EDB Investments),['recpkSzYCmSh9MkNW'],['Bleeding Edge BIM (AEC/BIM)'],,['LionsBot'],Institutional Investors,1,,,
rec5wMeMFXH6TkpZ5,Luca Pretto,['recqf8yrsTl6r7As4'],"['Factory Futures (MES, IIOT)']",,['Viam'],Individual,1,,,
rec6fEoTyLBxMcSIR,NatWest UK Export Finance UKEF,['recu4s12JklZOPcly'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['Dynisma'],Institutional Investors,1,,,
rec6rP6D2qlTzqPNL,Local accelerator Dublin,['recoazUPR3cOToUMg'],['Design Intelligence (CAD)'],,['Makistry'],Institutional Investors,1,,,
rec757s5ab5PnKnes,Noblis Ventures,['recswi1PaU0hXpJ4R'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['Sedaro'],VC Fund,1,,,
rec7TXUUeLUKDdmnU,BNP Paribas Développement,['recq1cM1WaGFYQRY0'],"['Augmented Operations (MOM, CMMS, AR/VR, SLM)']",,['Scortex'],Institutional Investors,1,,,
rec7eZf3amrZFMPTR,Focal,['recqL8SeR544BDj5H'],['Design Intelligence (CAD)'],,['Drafter'],Institutional Investors,1,,,
rec7kjZ777a2Cm99A,adidas Ventures,['rectuKApvYcNtWZHa'],"['Factory Futures (MES, IIOT)']",,['Carbon'],VC Fund,1,,,
