Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
BNP Paribas Développement,recq1cM1WaGFYQRY0,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Scortex,1,Institutional Investors,,,,
Focal,recqL8SeR544BDj5H,Design Intelligence (CAD),Drafter,1,Institutional Investors,,,,
adidas Ventures,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,VC Fund,,,,
Ripkens Wiesenkämper Beratende Ingenieure,reco92rfqorVz9zCO,Bleeding Edge BIM (AEC/BIM),Madaster Germany Gmbh,1,Individual,,,,
Virginia Venture Partners (VIPC),recswi1PaU0hXpJ4R,"Extreme Analysis (CAE, CFD, FEA, QC)",Sedaro,1,VC Fund,,,,
Bridge Commercial Real Estate,recpCLgZKCT59blgr,Bleeding Edge BIM (AEC/BIM),Skema.AI,1,Institutional Investors,,,,
Delin Ventures,recr1AfIDc3742i8i,Bleeding Edge BIM (AEC/BIM),Endra,1,VC Fund,,,,
Chris Welch,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,Individual,,,,
Provest Partners,recpCLgZKCT59blgr,Bleeding Edge BIM (AEC/BIM),Skema.AI,1,Institutional Investors,,,,
PKSHA Capital,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
Coastal Construction Company,recs0vaG0Y7k1cndM,Bleeding Edge BIM (AEC/BIM),Togal AI,1,Institutional Investors,,,,
Keihanna Global Acceleration Program,recsx50OPgBVk6nGY,Bleeding Edge BIM (AEC/BIM),Recloud,1,Individual,,,,
Caspar Archi,reco92rfqorVz9zCO,Bleeding Edge BIM (AEC/BIM),Madaster Germany Gmbh,1,Individual,,,,
F.I.S.,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Institutional Investors,,,,
Pentech Ventures,recr9CZAsU7xMYkmN,"Extreme Analysis (CAE, CFD, FEA, QC)",Monolith (acquired by CoreWeave in 2025),1,VC Fund,,,,
Michelle Seow,recpkSzYCmSh9MkNW,Bleeding Edge BIM (AEC/BIM),LionsBot,1,Individual,,,,
Alejandro Agag,recr9CZAsU7xMYkmN,"Extreme Analysis (CAE, CFD, FEA, QC)",Monolith (acquired by CoreWeave in 2025),1,Individual,,,,
John Saunders,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,Individual,,,,
PME MTL Centre‑Ville,recpGekAmxPmQYMFg,"Adaptive Manufacturing (AM, CAM, CNC)",Toolkit3D,1,Individual,,,,
Griffin Schroeder,recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,Individual,,,,
Canadian Technology Accelerator,recpGekAmxPmQYMFg,"Adaptive Manufacturing (AM, CAM, CNC)",Toolkit3D,1,Institutional Investors,,,,
Joe Panettieri,recs0vaG0Y7k1cndM,Bleeding Edge BIM (AEC/BIM),Togal AI,1,Individual,,,,
Chalfen Ventures,recpYKOfcRlHDINGI,Streamlined Supply Chain (SCM),Luminovo,1,VC Fund,,,,
Rajesh Elara Mohan,recpkSzYCmSh9MkNW,Bleeding Edge BIM (AEC/BIM),LionsBot,1,Individual,,,,
SpaceFounders France,rectnFTIwhrW36087,Design Intelligence (CAD),Cognitive Design by CDS,1,Individual,,,,
Apex Black,recr9CZAsU7xMYkmN,"Extreme Analysis (CAE, CFD, FEA, QC)",Monolith (acquired by CoreWeave in 2025),1,Individual,,,,
Teodoro D'Ambrosio,recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,Individual,,,,
International Startup Festival,recpGekAmxPmQYMFg,"Adaptive Manufacturing (AM, CAM, CNC)",Toolkit3D,1,Institutional Investors,,,,
Iron Hands Capital,rectnFTIwhrW36087,Design Intelligence (CAD),Cognitive Design by CDS,1,Institutional Investors,,,,
Indaco,recstd3GdK2il0VF2,"Adaptive Manufacturing (AM, CAM, CNC)",Caracol,1,Institutional Investors,,,,
STATION Ai Central Japan Fund No.1,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
CNB Capital,recq610lsAIpfbkVs,"Extreme Analysis (CAE, CFD, FEA, QC)",Neural Concept,1,Institutional Investors,,,,
Leonid Capital Partners,recswi1PaU0hXpJ4R,"Extreme Analysis (CAE, CFD, FEA, QC)",Sedaro,1,Institutional Investors,,,,
Social Alpha,recqc0mM0ul4jyTkr,Bleeding Edge BIM (AEC/BIM),Voxelgrid,1,Institutional Investors,,,,
La Famiglia VC,recpYKOfcRlHDINGI,Streamlined Supply Chain (SCM),Luminovo,1,Individual,,,,
12 West Capital,recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,Institutional Investors,,,,
Kennametal,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,Institutional Investors,,,,
Baillie Gifford,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Individual,,,,
Saxon Baum,recs0vaG0Y7k1cndM,Bleeding Edge BIM (AEC/BIM),Togal AI,1,Individual,,,,
Minitab.,recs0vaG0Y7k1cndM,Bleeding Edge BIM (AEC/BIM),Togal AI,1,Institutional Investors,,,,
JSR Corporation,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Institutional Investors,,,,
Sebastian Ribbentrop,recpaCa3QbaOvQTN2,Design Intelligence (CAD),Generative Vision,1,Individual,,,,
Channel Angels,recs0vaG0Y7k1cndM,Bleeding Edge BIM (AEC/BIM),Togal AI,1,Angel,,,,
Eli Lilly,recrjKdXNbU8jaVIl,Bleeding Edge BIM (AEC/BIM),Revizto,1,Individual,,,,
Valley Venture Mentors,recqQs2kZCo3CEKTO,"Adaptive Manufacturing (AM, CAM, CNC)",Autodrop3D,1,VC Fund,,,,
Tech Square Ventures,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,VC Fund,,,,
BLH Venture Partners,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,VC Fund,,,,
ME Innovation,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Individual,,,,
Arkema,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Institutional Investors,,,,
TouchStone Capital Group,recr9CZAsU7xMYkmN,"Extreme Analysis (CAE, CFD, FEA, QC)",Monolith (acquired by CoreWeave in 2025),1,Institutional Investors,,,,
Shizuoka Capital,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
Shizuoka Bank,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
Florida Funders,recs0vaG0Y7k1cndM,Bleeding Edge BIM (AEC/BIM),Togal AI,1,Institutional Investors,,,,
Camozzi Group,recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,Individual,,,,
XAnge,recq1cM1WaGFYQRY0,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Scortex,1,Institutional Investors,,,,
RefashionD Ventures,recpmEwNT3VnWYTnS,Streamlined Supply Chain (SCM),Mobius Materials,1,VC Fund,,,,
Leaders Fund,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,Institutional Investors,,,,
Planet A Ventures,recqsUpkI4gSmuy8v,"Cognitive Thread (PLM, MBSE, DT)",Makersite Gmbh,1,VC Fund,,,,
i-nest No.2,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
Johnson & Johnson Innovation – JJDC,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Institutional Investors,,,,
Startup Karnataka,recqc0mM0ul4jyTkr,Bleeding Edge BIM (AEC/BIM),Voxelgrid,1,Individual,,,,
Sapphire Ventures,recoKutiNSGJYL1xU,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Tractian,1,VC Fund,,,,
Counterview Capital,rectETKS0Dpcq47af,"Cognitive Thread (PLM, MBSE, DT)",Bild,1,Institutional Investors,,,,
Founders Factory,recr9CZAsU7xMYkmN,"Extreme Analysis (CAE, CFD, FEA, QC)",Monolith (acquired by CoreWeave in 2025),1,Individual,,,,
Commerz Real,reco92rfqorVz9zCO,Bleeding Edge BIM (AEC/BIM),Madaster Germany Gmbh,1,Individual,,,,
CDP Venture,recstd3GdK2il0VF2,"Adaptive Manufacturing (AM, CAM, CNC)",Caracol,1,VC Fund,,,,
Tan Kuan Ern,recpkSzYCmSh9MkNW,Bleeding Edge BIM (AEC/BIM),LionsBot,1,Individual,,,,
Advanced Technology Development Center (ATDC),recpCLgZKCT59blgr,Bleeding Edge BIM (AEC/BIM),Skema.AI,1,Institutional Investors,,,,
Spero Ventures,recpmEwNT3VnWYTnS,Streamlined Supply Chain (SCM),Mobius Materials,1,VC Fund,,,,
ANRI,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
DAA Capital Partners,rectnFTIwhrW36087,Design Intelligence (CAD),Cognitive Design by CDS,1,Institutional Investors,,,,
Madrone Capital Partners,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Institutional Investors,,,,
SuperSteam Asia Pacific,recpkSzYCmSh9MkNW,Bleeding Edge BIM (AEC/BIM),LionsBot,1,Individual,,,,
Bridge Investment Group,recpCLgZKCT59blgr,Bleeding Edge BIM (AEC/BIM),Skema.AI,1,Individual,,,,
LAUNCHPAD FUND No.2,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
Shinsei Corporate Investment,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Individual,,,,
H.I. Capital,recqsUpkI4gSmuy8v,"Cognitive Thread (PLM, MBSE, DT)",Makersite Gmbh,1,Institutional Investors,,,,
Jeff Shaw,recpCLgZKCT59blgr,Bleeding Edge BIM (AEC/BIM),Skema.AI,1,Individual,,,,
Forestay Capital,recq610lsAIpfbkVs,"Extreme Analysis (CAE, CFD, FEA, QC)",Neural Concept,1,Institutional Investors,,,,
Freny Firoze Irani,recpkSzYCmSh9MkNW,Bleeding Edge BIM (AEC/BIM),LionsBot,1,Individual,,,,
Google Ventures (GV),rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,VC Fund,,,,
Reinet Investments (Reinet Fund S.C.A.),rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Institutional Investors,,,,
ModuleWorks,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,Institutional Investors,,,,
Neurone,recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,Institutional Investors,,,,
LE CAMP,recpGekAmxPmQYMFg,"Adaptive Manufacturing (AM, CAM, CNC)",Toolkit3D,1,Individual,,,,
Schox Venture Capital,recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,VC Fund,,,,
Keyence Corporation,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Institutional Investors,,,,
Jeffrey Schox,recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,Individual,,,,
Wellness Holding (Alessandri Family),recqf8yrsTl6r7As4,"Factory Futures (MES, IIOT)",Viam,1,Institutional Investors,,,,
Aster Capital,recq610lsAIpfbkVs,"Extreme Analysis (CAE, CFD, FEA, QC)",Neural Concept,1,Institutional Investors,,,,
UIT Growth Equity,rectuKApvYcNtWZHa,"Factory Futures (MES, IIOT)",Carbon,1,Individual,,,,
SMBC Venture Capital,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,VC Fund,,,,
Lightning Capital,recs0vaG0Y7k1cndM,Bleeding Edge BIM (AEC/BIM),Togal AI,1,Institutional Investors,,,,
Stephen DeBacco,recu69Kt2WXMNiELZ,"Adaptive Manufacturing (AM, CAM, CNC)",Toolpath,1,Individual,,,,
BIRAC (National Biopharma Mission / Department of Biotechnology),recqc0mM0ul4jyTkr,Bleeding Edge BIM (AEC/BIM),Voxelgrid,1,Institutional Investors,,,,
Spatial Capital,recqL8SeR544BDj5H,Design Intelligence (CAD),Drafter,1,Institutional Investors,,,,
Kiyo Growth Support No.2,recosXany7h8XLntI,"Cognitive Thread (PLM, MBSE, DT)","PRISM by Things, Inc.",1,Individual,,,,
SHL Capital (Sebastian Siemiatkowski),recr1AfIDc3742i8i,Bleeding Edge BIM (AEC/BIM),Endra,1,Institutional Investors,,,,
IP Group plc,recr9CZAsU7xMYkmN,"Extreme Analysis (CAE, CFD, FEA, QC)",Monolith (acquired by CoreWeave in 2025),1,Institutional Investors,,,,
Imity Group,recseLihqcMlHvoVq,"Cognitive Thread (PLM, MBSE, DT)",Sibe.io,1,Individual,,,,
Stellar Ventures,recswi1PaU0hXpJ4R,"Extreme Analysis (CAE, CFD, FEA, QC)",Sedaro,1,VC Fund,,,,
Teralys Capital,recuH7CHKjYxM4zdS,Design Intelligence (CAD),Bench,1,Institutional Investors,,,,
Jennifer Tejada,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Individual,,,,
Steve Pagliuca,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Individual,,,,
HOF Capital,recua5w9lxPKzA0vr,Design Intelligence (CAD),Hanomi AI,1,Institutional Investors,,,,
Mark Cuban,recwnH2HEbWwKDgdC,Design Intelligence (CAD),VNTANA,1,Individual,,,,
Id4 Ventures,recx2d31ZsbxUKQPt,Design Intelligence (CAD),TETMET,1,VC Fund,,,,
Emily Walsh,recuv6DgeXnWlbges,"SW+HW=Innovation (Robotics, Drones)",Vention,1,Individual,,,,
Philip Chopin,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Gradient Control Laboratories,recz5STIDKvGzX5Xm,"Extreme Analysis (CAE, CFD, FEA, QC)",LatticeRobot,1,Institutional Investors,,,,
Bank of Montreal,recuH7CHKjYxM4zdS,Design Intelligence (CAD),Bench,1,Institutional Investors,,,,
Florida Opportunity Fund,recxa8Osr3LR5dVPJ,Design Intelligence (CAD),Novineer,1,Institutional Investors,,,,
Shopify,recuH7CHKjYxM4zdS,Design Intelligence (CAD),Bench,1,Institutional Investors,,,,
MFG Invest,recx2d31ZsbxUKQPt,Design Intelligence (CAD),TETMET,1,Individual,,,,
Sandra Malmberg,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Oldslip Group,recxhL1LwIanxkUbp,Design Intelligence (CAD),nTop,1,Individual,,,,
Bolt Ventures,recuv6DgeXnWlbges,"SW+HW=Innovation (Robotics, Drones)",Vention,1,VC Fund,,,,
Workday Ventures,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,VC Fund,,,,
Imprimatur Capital Fund Management,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,Institutional Investors,,,,
ARPA-E (U.S. Department of Energy Advanced Research Projects Agency-Energy),reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,Institutional Investors,,,,
Constructive Venture Fund,recv5CQRN7qfqQc2f,Bleeding Edge BIM (AEC/BIM),Archilyse (bankruptcy in 2023),1,VC Fund,,,,
Frank DiLullo,recxa8Osr3LR5dVPJ,Design Intelligence (CAD),Novineer,1,Individual,,,,
Link-XPV,recyHfAcH5K4aLFl0,"Extreme Analysis (CAE, CFD, FEA, QC)",Mecado,1,Institutional Investors,,,,
Evergreen Seed,recxa8Osr3LR5dVPJ,Design Intelligence (CAD),Novineer,1,Individual,,,,
Phaedrus Systems,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,Institutional Investors,,,,
Start-up BW Pre-Seed,recvaBZL1RsDXy7D0,Design Intelligence (CAD),CadAICo,1,Individual,,,,
Patrick Hurst,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,Individual,,,,
SaxeCap,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,Institutional Investors,,,,
Jean-Paul Sanday,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Joen Bonnier,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Dave McJannet,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Individual,,,,
Constellation Software Inc.,recxEGiFYJgHLkwWK,"Extreme Analysis (CAE, CFD, FEA, QC)",Realis Simulation,1,Institutional Investors,,,,
Climate Club VC,recx2d31ZsbxUKQPt,Design Intelligence (CAD),TETMET,1,Individual,,,,
Katarina Martinson,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Material Ventures,recx2d31ZsbxUKQPt,Design Intelligence (CAD),TETMET,1,VC Fund,,,,
Rob Bernshteyn,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Individual,,,,
Silicon Valley Bank,recuH7CHKjYxM4zdS,Design Intelligence (CAD),Bench,1,Institutional Investors,,,,
Brick & Mortar Ventures,recut6VgFZVX9RMes,Bleeding Edge BIM (AEC/BIM),Hypar,1,VC Fund,,,,
Sven Hagströmer,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Whiterock Finance,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,Individual,,,,
Rahul Mehta,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Individual,,,,
FOG Software Group,recxEGiFYJgHLkwWK,"Extreme Analysis (CAE, CFD, FEA, QC)",Realis Simulation,1,Individual,,,,
Angular Ventures,recwqVPVGXleIjo9f,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Aquant,1,VC Fund,,,,
Stefan Heitmann (business angel),recv5CQRN7qfqQc2f,Bleeding Edge BIM (AEC/BIM),Archilyse (bankruptcy in 2023),1,Angel,,,,
GP Bullhound,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
White Star Capital,recuv6DgeXnWlbges,"SW+HW=Innovation (Robotics, Drones)",Vention,1,Institutional Investors,,,,
Impatient VenturesY,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,VC Fund,,,,
Super Capital,recx2d31ZsbxUKQPt,Design Intelligence (CAD),TETMET,1,Institutional Investors,,,,
Falon Donohue,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,Individual,,,,
Founders Circle Capital,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Institutional Investors,,,,
SBI,reczAQLzcfJZNJsoO,Bleeding Edge BIM (AEC/BIM),Reconstruct,1,Institutional Investors,,,,
UKAEA (Fusion Industry Program),recyF4sX5KjbeYOpD,Design Intelligence (CAD),Infinitive (formerly CAE Tech),1,Institutional Investors,,,,
Sylvain Carle,recuv6DgeXnWlbges,"SW+HW=Innovation (Robotics, Drones)",Vention,1,Individual,,,,
Startup Edmonton,recumTIqDM8UsmHWU,"Factory Futures (MES, IIOT)",PrototypeHubs (acquired by Prototek Manufacturing in 2024),1,Individual,,,,
Porsche Ventures,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,VC Fund,,,,
ONINO UG,recvaBZL1RsDXy7D0,Design Intelligence (CAD),CadAICo,1,Individual,,,,
Scott Sandell,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Click Bond,recuQ3Nd6rYe8dfys,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Frontline.io,1,Individual,,,,
Florida Venture Forum,recxa8Osr3LR5dVPJ,Design Intelligence (CAD),Novineer,1,VC Fund,,,,
PropTech1 Ventures,recv5CQRN7qfqQc2f,Bleeding Edge BIM (AEC/BIM),Archilyse (bankruptcy in 2023),1,VC Fund,,,,
8090 Industries,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,Institutional Investors,,,,
Blackwing,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,Institutional Investors,,,,
Pitch@Palace,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,Institutional Investors,,,,
Space Florida,recxa8Osr3LR5dVPJ,Design Intelligence (CAD),Novineer,1,Individual,,,,
WND Ventures,recut6VgFZVX9RMes,Bleeding Edge BIM (AEC/BIM),Hypar,1,VC Fund,,,,
Morado Ventures,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,VC Fund,,,,
Sophia Bendz,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
ISAI Cap Venture,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,VC Fund,,,,
S&A,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,Institutional Investors,,,,
Link Ventures,recyHfAcH5K4aLFl0,"Extreme Analysis (CAE, CFD, FEA, QC)",Mecado,1,VC Fund,,,,
Ulu Ventures,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,VC Fund,,,,
Techstart Ventures,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,VC Fund,,,,
Swiss Immo Lab AG,recv5CQRN7qfqQc2f,Bleeding Edge BIM (AEC/BIM),Archilyse (bankruptcy in 2023),1,Individual,,,,
Walter Ventures,recuv6DgeXnWlbges,"SW+HW=Innovation (Robotics, Drones)",Vention,1,VC Fund,,,,
Jeff Lawson,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Institutional Investors,,,,
Spatial Syndicate,recut6VgFZVX9RMes,Bleeding Edge BIM (AEC/BIM),Hypar,1,Individual,,,,
Keough Ventures,recut6VgFZVX9RMes,Bleeding Edge BIM (AEC/BIM),Hypar,1,VC Fund,,,,
State of Baden-Württemberg,recvaBZL1RsDXy7D0,Design Intelligence (CAD),CadAICo,1,Institutional Investors,,,,
SIX FinTech Ventures,recv5CQRN7qfqQc2f,Bleeding Edge BIM (AEC/BIM),Archilyse (bankruptcy in 2023),1,VC Fund,,,,
Georgian Partners,recuv6DgeXnWlbges,"SW+HW=Innovation (Robotics, Drones)",Vention,1,Institutional Investors,,,,
Jerry Yang,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,Individual,,,,
Innovation Ulster Limited,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,Institutional Investors,,,,
Ringier Digital Ventures,recv5CQRN7qfqQc2f,Bleeding Edge BIM (AEC/BIM),Archilyse (bankruptcy in 2023),1,VC Fund,,,,
Narya Capital,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,Institutional Investors,,,,
57 Stars,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,Institutional Investors,,,,
Tencent Holdings,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,Institutional Investors,,,,
Wendel,recx2d31ZsbxUKQPt,Design Intelligence (CAD),TETMET,1,Institutional Investors,,,,
Air Force Office of Scientific Research (AFOSR),recxa8Osr3LR5dVPJ,Design Intelligence (CAD),Novineer,1,Institutional Investors,,,,
Newforma,recudGZZRYAu3P70o,Bleeding Edge BIM (AEC/BIM),BIM Track (acquired by Newforma in 2021),1,Institutional Investors,,,,
Schnaithmann Maschinenbau GmbH,recvaBZL1RsDXy7D0,Design Intelligence (CAD),CadAICo,1,Individual,,,,
Kevin Burgoyne,recxa8Osr3LR5dVPJ,Design Intelligence (CAD),Novineer,1,Individual,,,,
1517 Fund,recxhL1LwIanxkUbp,Design Intelligence (CAD),nTop,1,Institutional Investors,,,,
Sozo Ventures,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,VC Fund,,,,
Andy Palmer,recwMtFjRDbwTrK78,Design Intelligence (CAD),Five Flute,1,Individual,,,,
Cardumen Capital,recxJQWmfag1bxFNX,Design Intelligence (CAD),Bananaz,1,Institutional Investors,,,,
Christian Thönes,recwMtFjRDbwTrK78,Design Intelligence (CAD),Five Flute,1,Individual,,,,
Contour Venture Partners,recuH7CHKjYxM4zdS,Design Intelligence (CAD),Bench,1,VC Fund,,,,
Anna Felländer,recvohT18FH4InPy9,"Knowledge Engineering (R&D, Learning)",Sana (acquired by Workday in 2025),1,Individual,,,,
Ricardo plc,recxEGiFYJgHLkwWK,"Extreme Analysis (CAE, CFD, FEA, QC)",Realis Simulation,1,Institutional Investors,,,,
DeepTech Ventures,recv5CQRN7qfqQc2f,Bleeding Edge BIM (AEC/BIM),Archilyse (bankruptcy in 2023),1,VC Fund,,,,
Dominique Bélanger,recuv6DgeXnWlbges,"SW+HW=Innovation (Robotics, Drones)",Vention,1,Individual,,,,
Ridge Ventures,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,VC Fund,,,,
L-Bank,recvaBZL1RsDXy7D0,Design Intelligence (CAD),CadAICo,1,Institutional Investors,,,,
Fenton Founders Fund,recwMtFjRDbwTrK78,Design Intelligence (CAD),Five Flute,1,Institutional Investors,,,,
XSeed Capital,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,Institutional Investors,,,,
Far Eastern Group,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,Individual,,,,
August Capital,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Institutional Investors,,,,
Edmonton Unlimited,recumTIqDM8UsmHWU,"Factory Futures (MES, IIOT)",PrototypeHubs (acquired by Prototek Manufacturing in 2024),1,Institutional Investors,,,,
Allison Pickens,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Individual,,,,
B&C Holdings,reczjzXYBgUGpdPXn,"Cognitive Thread (PLM, MBSE, DT)",Citrine Informatics,1,Institutional Investors,,,,
Koa Labs,recwMtFjRDbwTrK78,Design Intelligence (CAD),Five Flute,1,Individual,,,,
Clarendon Fund Managers,reczWRVSvY4MYVXdr,Design Intelligence (CAD),Axial3D,1,Institutional Investors,,,,
Sage,recuH7CHKjYxM4zdS,Design Intelligence (CAD),Bench,1,Institutional Investors,,,,
Chris Comparato,recuADye15JvSTfls,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",MaintainX,1,Individual,,,,
Calm Ventures,recxMbAOcj1YGb7ss,"SW+HW=Innovation (Robotics, Drones)",Atomic Industries,1,VC Fund,,,,
