Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
Meituan,recVE5W6nsf7RqHqK,"SW+HW=Innovation (Robotics, Drones)",Mech-Mind Robotics,1,Institutional Investors,,,,
Taiwania Capital,recVy9LhoGyNIYsAO,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",LandingAI,1,Institutional Investors,,,,
Corson Ellis,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,Individual,,,,
NEA,recX8LzxoDPvh3Ul9,"SW+HW=Innovation (Robotics, Drones)",Built Robotics,1,Institutional Investors,,,,
Nubbo incubateur,recV56brqTfwXgXWK,"Cognitive Thread (PLM, MBSE, DT)",Guaeca,1,Institutional Investors,,,,
Diana Hu,recXnPYUVun4MOI0k,Streamlined Supply Chain (SCM),CoFactr,1,Individual,,,,
MaRS IAF,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,Individual,,,,
Snowflake Ventures,recVy9LhoGyNIYsAO,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",LandingAI,1,VC Fund,,,,
French Fab label,recTf2tMWWzMK3k23,"Factory Futures (MES, IIOT)",ALFI Technologies,1,Institutional Investors,,,,
SOAN,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Maine Technology Institute,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,Individual,,,,
Saturnin Pugnet,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,Individual,,,,
Pareto Holdings,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,Institutional Investors,,,,
The Innovation Center (Cockrell School of Engineering,recSOnYluBpqdLBZF,Design Intelligence (CAD),nVariate,1,Institutional Investors,,,,
Lior Handelsman,recVVR4ECULirZ3nG,"Adaptive Manufacturing (AM, CAM, CNC)",LimitlessCNC,1,Individual,,,,
McRock Capital,recVy9LhoGyNIYsAO,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",LandingAI,1,Institutional Investors,,,,
Nirmesh Patel,recUKS2KAJqrCB4zk,Design Intelligence (CAD),Reynko,1,Individual,,,,
Ryan Peterson,recX8LzxoDPvh3Ul9,"SW+HW=Innovation (Robotics, Drones)",Built Robotics,1,Individual,,,,
CEI Ventures,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,VC Fund,,,,
Maine Venture Fund,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,VC Fund,,,,
Outlast Fund,recU4GQXc6B9r4z4w,"Cognitive Thread (PLM, MBSE, DT)",trace.space,1,Institutional Investors,,,,
Soren Oberg,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,Individual,,,,
NGen,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Maria Thomas,recX8LzxoDPvh3Ul9,"SW+HW=Innovation (Robotics, Drones)",Built Robotics,1,Individual,,,,
Matt Robinson,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Unless,recRtWQzDsbczClOl,"SW+HW=Innovation (Robotics, Drones)",Alloy Enterprises,1,Institutional Investors,,,,
Fathom Fund,recXm8Un0Soh6OLH1,"Extreme Analysis (CAE, CFD, FEA, QC)","Nullspace, Inc",1,Institutional Investors,,,,
Argon Ventures,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,VC Fund,,,,
Eric Sellman,recX8LzxoDPvh3Ul9,"SW+HW=Innovation (Robotics, Drones)",Built Robotics,1,Individual,,,,
Nevada Partners,recXEBRKiIplMHT2E,Bleeding Edge BIM (AEC/BIM),AeroAI,1,Institutional Investors,,,,
Defense Advanced Research Projects Agency (DARPA),recUBVrVX9YykFDiq,"Extreme Analysis (CAE, CFD, FEA, QC)",Intact Solutions,1,Institutional Investors,,,,
Squadra Ventures,recRwDJwYwaNfdNY9,"Cognitive Thread (PLM, MBSE, DT)",SysGit,1,VC Fund,,,,
Floating Point Ventures,recXnPYUVun4MOI0k,Streamlined Supply Chain (SCM),CoFactr,1,VC Fund,,,,
Golden Seeds,recXm8Un0Soh6OLH1,"Extreme Analysis (CAE, CFD, FEA, QC)","Nullspace, Inc",1,Individual,,,,
Vishal Harnal,recY1w35R3PXfXsjm,"Extreme Analysis (CAE, CFD, FEA, QC)",Phasio,1,Individual,,,,
Qiming Venture Partners,recVE5W6nsf7RqHqK,"SW+HW=Innovation (Robotics, Drones)",Mech-Mind Robotics,1,VC Fund,,,,
Larry Lukis,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,Individual,,,,
Chris Kingsley,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
IERUS Technologies,recXm8Un0Soh6OLH1,"Extreme Analysis (CAE, CFD, FEA, QC)","Nullspace, Inc",1,Individual,,,,
Wecubex,recVFr3ofOgSo0Maf,"Adaptive Manufacturing (AM, CAM, CNC)",SeekMake,1,Institutional Investors,,,,
CEAS Investments,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,Institutional Investors,,,,
Sterling Snow,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Brett Austin,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,Individual,,,,
Sebastian Borek,recY5fsh3fqYPfjxf,"Cognitive Thread (PLM, MBSE, DT)",SPREAD,1,Individual,,,,
Bantam Group,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,Individual,,,,
Drone Grantology,recXEBRKiIplMHT2E,Bleeding Edge BIM (AEC/BIM),AeroAI,1,Institutional Investors,,,,
Wonder Ventures,recRwDJwYwaNfdNY9,"Cognitive Thread (PLM, MBSE, DT)",SysGit,1,VC Fund,,,,
Aero X Ventures,recWZxiMHsbcRa0bH,"Cognitive Thread (PLM, MBSE, DT)",Istari Digital,1,VC Fund,,,,
Jane Walerud,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Michael Sorkin,recY1w35R3PXfXsjm,"Extreme Analysis (CAE, CFD, FEA, QC)",Phasio,1,Individual,,,,
Mandeep Singh,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
John McEleney,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,Individual,,,,
W Youth Capital,recRosbPrcxJNsPFd,"Factory Futures (MES, IIOT)",TDEngine,1,Institutional Investors,,,,
Idealist Capital,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Canada Makes,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Qora71,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,Institutional Investors,,,,
National Institute of Standards and Technology (NIST),recUBVrVX9YykFDiq,"Extreme Analysis (CAE, CFD, FEA, QC)",Intact Solutions,1,Institutional Investors,,,,
DDQIC,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Chiyoda Corporation,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,Institutional Investors,,,,
Embark Ventures,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,VC Fund,,,,
NAP,recY5fsh3fqYPfjxf,"Cognitive Thread (PLM, MBSE, DT)",SPREAD,1,Institutional Investors,,,,
Aurelia Foundry,recRwDJwYwaNfdNY9,"Cognitive Thread (PLM, MBSE, DT)",SysGit,1,Individual,,,,
Wenqing Capital,recRosbPrcxJNsPFd,"Factory Futures (MES, IIOT)",TDEngine,1,Institutional Investors,,,,
Iron Prairie,recRwDJwYwaNfdNY9,"Cognitive Thread (PLM, MBSE, DT)",SysGit,1,Individual,,,,
founders of Clari,recSVLREj85ksFafe,Design Intelligence (CAD),camfer,1,Institutional Investors,,,,
Footprint Coalition (Robert Downey Jr.'s Footprint Coalition),recRtWQzDsbczClOl,"SW+HW=Innovation (Robotics, Drones)",Alloy Enterprises,1,Institutional Investors,,,,
Till Reuter,recY5fsh3fqYPfjxf,"Cognitive Thread (PLM, MBSE, DT)",SPREAD,1,Individual,,,,
Pascal Stuerchler,recWKfTPM9oZtZJDn,"Adaptive Manufacturing (AM, CAM, CNC)",Manukai,1,Individual,,,,
Patrick Pichette,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Taihecap Capital,recVE5W6nsf7RqHqK,"SW+HW=Innovation (Robotics, Drones)",Mech-Mind Robotics,1,Institutional Investors,,,,
Graphite Ventures,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,VC Fund,,,,
Charlie/Charles Songhurst,recY5fsh3fqYPfjxf,"Cognitive Thread (PLM, MBSE, DT)",SPREAD,1,Individual,,,,
Sam Smith-Eppsteiner,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,Individual,,,,
Airtree Explorers,recY1w35R3PXfXsjm,"Extreme Analysis (CAE, CFD, FEA, QC)",Phasio,1,Institutional Investors,,,,
BOOOM,recY5fsh3fqYPfjxf,"Cognitive Thread (PLM, MBSE, DT)",SPREAD,1,Institutional Investors,,,,
Nate Mitchell,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Speedrun,recVQRAKLIEZV36mD,"Cognitive Thread (PLM, MBSE, DT)",EverCurrent,1,Institutional Investors,,,,
Shimadzu Corporation,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,Institutional Investors,,,,
Tom Blomfield,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Trajectory Ventures,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,VC Fund,,,,
N/A,recS2rZN3zGwgXXl5,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Optrix,1,Institutional Investors,,,,
SummitSpark Partners,recXm8Un0Soh6OLH1,"Extreme Analysis (CAE, CFD, FEA, QC)","Nullspace, Inc",1,Institutional Investors,,,,
Warrick Shanly,recWIfUxcXUE7K43n,"Extreme Analysis (CAE, CFD, FEA, QC)",NavierAI,1,Individual,,,,
National Institute of Standards and Technology (NIST) SBIR,recSOnYluBpqdLBZF,Design Intelligence (CAD),nVariate,1,Institutional Investors,,,,
10 BOND,recWIfUxcXUE7K43n,"Extreme Analysis (CAE, CFD, FEA, QC)",NavierAI,1,Institutional Investors,,,,
CTA,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Osarodion Victory Igbinobaro,recXEBRKiIplMHT2E,Bleeding Edge BIM (AEC/BIM),AeroAI,1,Individual,,,,
