Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Aditya Birla Ventures,UptimeAI,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Kleiner Perkins,juna.ai,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
YourNest,UptimeAI,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Khasm Labs,AnyLog,1,"""Factory Futures (MES, IIOT)""",,,,,
Bpifrance support,Fuzzy Logic Robotics,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Bootstrapped Founders,SelectAM,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
No public investors identified.,BimDrone,1,Bleeding Edge BIM (AEC/BIM),,,,,
Multiple robotics-focused angels and micro-VCs,ARYA Labs,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Movac,Portainer.io,1,"""Factory Futures (MES, IIOT)""",,,,,
Angel Invest (Angel Invest Ventures),Aletiq,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Unnamed/unspecified technologists (angel investors).,Violet Labs,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
EXIST programme,Synera,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
Bootstrapped by founder Craig Scott,Fuuz,1,"""Factory Futures (MES, IIOT)""",,,,,
MaC Ventures,Boltline,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
VentureBuilder,AnyLog,1,"""Factory Futures (MES, IIOT)""",,,,,
Connect Ventures 2100 Ventures Notion Capital Insiders 50partners angel investors including Amirhossein Malekzadeh,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Activate Capital,Fictiv (Acquired by MISUMI in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,
Startup Wise Guys,SelectAM,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
Liquid2,Boltline,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
Lightspeed,BuilDOTS,1,Bleeding Edge BIM (AEC/BIM),,,,,
Siemens Energy,Dyndrite,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
Montage Ventures,Augmenta,1,Bleeding Edge BIM (AEC/BIM),,,,,
Redpoint,Motif,1,Bleeding Edge BIM (AEC/BIM),,,,,
WestWave Capital,FlowFuse,1,"""Factory Futures (MES, IIOT)""",,,,,
Angel List,OpenSpace,1,Bleeding Edge BIM (AEC/BIM),,,,,
henQ (lead),Tanso,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
No public investors found (company appears unfunded),Werk24,1,"""Factory Futures (MES, IIOT)""",,,,,
Headline,Carbonfact,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
