Company,Estimated Headcount,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Founded,Market Opportunity,Team & Execution,Technology Differentiation,Funding Efficiency,Growth Metrics,Industry Impact,Competitive Moat,Weighted Score,Score Financial,Customer Signal Score,Est. Revenue by ARR or HC,Weighted Startup Quality Score,ARR Multiple,Estimated Valuation,Funding Floor,Estimated Value Final,ARR per Employee,Annual Burn Proxy,Runway Proxy (Months),Startup Size Category,Capital Efficiency,Runway Quality,Net Burn Level,Financial Confidence
nuvo3D,8,2025,$0.0,$0.0,$0.0,$0.0,2025,3.6,3.0,3.7,3.2,2.7,3.3,3.1,3.30,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$1.6M,2,Small,Low,Critical,Low,Medium
Flyingshapes Gmbh,11,2019,$0.0,$0.0,$0.0,$0.0,2018,4.3,3.5,3.5,3.0,1.0,3.0,3.5,3.29,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$2.2M,2,Small,Low,Critical,Low,Medium
Zoo,35,2023,$5000000.0,$25000000.0,$5000000.0,$100000000.0,2022,1.2,3.2,4.3,4.0,3.0,3.5,4.5,3.22,20,2,$5M,3,5,$25M,$50M,$50M,$142857.1,$7M,7,Large,High,High Risk,Moderate,Strong
Morphorm,6,2025,$0.0,$1000000.0,$3000000.0,$60000000.0,2020,0.0,3.6,3.7,3.7,3.2,3.5,4.5,2.91,10,2,$3M,3,4,$12M,$2M,$12M,$500000.0,$1.2M,1,Medium,High,Critical,Low,Strong
Hanomi AI,10,2025,$3000000.0,$3000000.0,$1000000.0,$5000000.0,2024,4.9,3.7,0.0,3.9,3.8,0.0,3.8,2.88,10,2,$1M,3,4,$4M,$6M,$6M,$100000.0,$2M,2,Small,High,Critical,Low,Strong
Poelis,5,2025,$100000.0,$100000.0,$1000000.0,$5000000.0,2025,2.0,3.2,3.0,3.0,3.0,3.0,3.8,2.88,10,2,$1M,3,4,$4M,$0.2M,$4M,$200000.0,$1M,1,Small,High,Critical,Low,Strong
PhysicsX,352,2025,$135000000.0,$170000000.0,$50000000.0,$1000000000.0,2020,4.2,4.8,4.7,5.0,4.4,4.4,4.4,4.60,30,8,$50M,5,12,$600M,$340M,$600M,$142045.5,$70.4M,70,Large,High,Very Strong,Very High,Strong
Neural Concept,100,2025,$100000000.0,$138000000.0,$10000000.0,$1000000000.0,2018,4.4,4.5,4.5,5.0,4.6,4.7,4.6,4.59,30,2,$10M,5,12,$120M,$276M,$276M,$100000.0,$20M,20,Large,High,Healthy,Very High,Strong
BQP,30,2025,$5000000.0,$8500000.0,$1000000.0,$28000000.0,2020,5.0,4.2,4.2,4.9,4.2,4.3,4.3,4.48,10,4,$1M,4,9,$9M,$17M,$17M,$33333.3,$6M,6,Medium,High,High Risk,Moderate,Strong
Rescale,350,2025,$115000000.0,$260000000.0,$45000000.0,$1100000000.0,2011,4.7,4.5,4.2,3.9,4.5,4.4,4.3,4.37,30,2,$45M,4,9,$405M,$520M,$520M,$128571.4,$70M,70,Large,High,Very Strong,Very High,Strong
Synera,38,2022,$17231800.0,$17200000.0,$10000000.0,$200000000.0,2018,4.4,4.3,4.3,4.4,4.4,4.6,3.8,4.35,30,2,$10M,4,9,$90M,$34.4M,$90M,$263157.9,$7.6M,8,Large,High,High Risk,Moderate,Strong
Luminary Cloud,55,2025,$72000000.0,$187000000.0,$7000000.0,$600000000.0,2020,4.8,4.8,4.0,4.5,3.8,3.8,4.0,4.35,20,2,$7M,4,9,$63M,$374M,$374M,$127272.7,$11M,11,Large,High,High Risk,High,Strong
Flexcompute,75,2021,$53000000.0,$81000000.0,$15000000.0,$150000000.0,2018,4.5,4.5,4.4,4.2,4.0,4.0,4.5,4.34,30,2,$15M,4,9,$135M,$162M,$162M,$200000.0,$15M,15,Large,High,Tight,High,Strong
Dynisma,125,2025,$0.0,$9.0,$15400000.0,$300000000.0,2017,4.5,4.7,4.5,3.0,4.5,4.7,3.5,4.29,30,8,$15.4M,4,9,$138.6M,$0M,$138.6M,$123200.0,$25M,25,Large,High,Comfortable,Very High,Strong
SimScale,150,2021,$29710000.0,$77000000.0,$25200000.0,$500000000.0,2012,4.6,4.2,4.2,4.0,4.4,4.3,4.2,4.28,30,2,$25.2M,4,9,$226.8M,$154M,$226.8M,$168000.0,$30M,30,Large,High,Comfortable,Very High,Strong
Quanscient,40,2024,$6000000.0,$10000000.0,$2000000.0,$40000000.0,2021,4.4,4.4,4.2,4.0,4.2,4.1,4.3,4.25,10,2,$2M,4,9,$18M,$20M,$20M,$50000.0,$8M,8,Medium,High,High Risk,High,Strong
Secondmind,60,2023,$16000000.0,$55000000.0,$18000000.0,$200000000.0,2017,4.0,4.4,4.2,4.0,4.5,4.6,3.5,4.21,30,8,$18M,4,9,$162M,$110M,$162M,$300000.0,$12M,12,Large,High,Tight,High,Strong
CoreForm,25,2025,$0.0,$2300000.0,$0.0,$50000000.0,2014,4.4,4.3,4.2,3.9,4.2,3.7,4.0,4.16,5,2,$0M,4,9,$0.0M,$4.6M,$4.6M,$0.0,$5M,5,Medium,Medium,Critical,Moderate,Strong
Sedaro,22,2024,$300000.0,$5000000.0,$4000000.0,$30000000.0,2019,4.3,4.5,4.1,3.5,4.1,4.3,4.1,4.15,10,2,$4M,4,9,$36M,$10M,$36M,$181818.2,$4.4M,4,Medium,High,Critical,Moderate,Strong
DivergenceAI,2,2024,$0.0,$0.0,$0.0,$4000000.0,2024,4.2,4.4,4.3,4.3,3.7,3.6,3.8,4.15,5,2,$0M,4,9,$0.0M,$0M,$0M,$0.0,$0.4M,0,Small,Low,Critical,Very Low,Medium
BeyondMath,50,2024,$8500000.0,$8500000.0,$1000000.0,$20000000.0,2022,4.4,4.1,4.3,4.0,3.8,4.0,3.9,4.14,10,2,$1M,4,9,$9M,$17M,$17M,$20000.0,$10M,10,Medium,High,High Risk,High,Strong
